cycle,current_A,capacity_mAh,degradation_pct,ocv_V,median_discharge_V,internal_resistance_mOhm,temperature_C,coulombic_efficiency,energy_Wh
1,0.5,999.2503185961226,0.07496814038774335,3.699666838456612,3.6698159577771174,58.66433975699932,24.97231952724399,0.9990350134719693,3.6670647649979196
2,0.5,998.5083527442738,0.14916472557262583,3.699655324597091,3.6632969375498923,63.73265360835138,25.111124074648885,0.9989864616975037,3.657832590726086
3,0.5,997.7740066003267,0.22259933996732206,3.6994325230277294,3.6661158376308327,67.32867951399864,25.086832178214873,0.9990579207914728,3.657955087973829
4,0.5,997.04718551075,0.29528144892499997,3.7011361041442425,3.666408638723861,70.11797390542625,24.801360662153694,0.9989489240244828,3.655582414171926
5,0.5,996.3277959978167,0.3672204002183266,3.7002723521502916,3.6680070979492285,72.39699336535068,25.041068487742443,0.9989942552638829,3.6545374276041027
6,0.5,995.6157457449991,0.43842542550008856,3.7008004971855017,3.65927792285988,74.32387686319142,24.94060251914235,0.9990240038409154,3.6432347180563505
7,0.5,994.9109435825438,0.5089056417456161,3.7014414653857117,3.6627230667322475,75.99301927099795,25.152979957606373,0.9990118106724664,3.6440832624041293
8,0.5,994.2132994732266,0.5786700526773436,3.7012174515858014,3.6591451313347054,77.46530721670275,25.2161894919899,0.998923588266128,3.6379707542756705
9,0.5,993.522724498283,0.6477275501717061,3.6943714726254595,3.6531596436096483,78.78231366242558,24.77668555752477,0.9990430291835813,3.629497122146234
10,0.5,992.8391308435154,0.7160869156484617,3.700898879649837,3.65725480997096,79.97369090997964,25.311351284147257,0.9989490327159307,3.631065686804834
11,0.5,992.1624317855722,0.7837568214427826,3.699357258214462,3.657944892319417,81.06133312234999,25.09718310009542,0.9990399889584344,3.6292754997012455
12,0.5,991.4925416783957,0.8507458321604267,3.700766380082289,3.660785101903762,82.0618669682692,25.263555857913317,0.9990228960304539,3.629641125224966
13,0.5,990.8293759398414,0.9170624060158561,3.698195791625951,3.654549570034406,82.98821662019074,24.933295232044912,0.9990238520343095,3.621035069818406
14,0.5,990.1728510384603,0.9827148961539689,3.6989101399203133,3.663992088830866,83.85062751377762,24.83421223734405,0.9989438562700048,3.627985492780022
15,0.5,989.5228844804486,1.0477115519551328,3.7009083200997663,3.662845190529798,84.65735902799727,25.237422092966064,0.9990405051530127,3.6244691383383842
16,0.5,988.8793947967563,1.112060520324376,3.7021854536426897,3.65919578781429,85.4151668007027,24.66454089148688,0.9989720247440126,3.6185033160966347
17,0.5,988.2423015303584,1.1757698469641586,3.701200329606455,3.653804470901369,86.12964697370205,25.107202253379036,0.99901120472511,3.6108441396654825
18,0.5,987.6115252236831,1.2388474776316882,3.698625507183794,3.657393659523108,86.8054872395805,25.277091065315112,0.9991145275687022,3.612084130425045
19,0.5,986.9869874061966,1.3013012593803386,3.700459154779918,3.6549076176942763,87.44665341942488,24.94003215087122,0.9989567923735093,3.6073462588360328
20,0.5,986.3686105821416,1.3631389417858353,3.7010866637545603,3.6553579000143475,88.05653047154279,25.093207482175533,0.9990357508452502,3.6055302930176065
21,0.5,985.7563182184284,1.4243681781571538,3.697698453111803,3.6524984638874605,88.63803066697895,24.567614120318826,0.998944076069048,3.6004734380601686
22,0.5,985.150034732677,1.4849965267322962,3.6979735292595772,3.65462397337557,89.19367769911437,25.483762267447275,0.9989971909450561,3.6003529343058167
23,0.5,984.5496854814062,1.54503145185938,3.699595709687284,3.655236781353251,89.72567287934932,25.456850905464652,0.9990426963313656,3.5987622234414105
24,0.5,983.9551967483716,1.6044803251628381,3.6995846984357175,3.651433891619955,90.23594781085251,25.408158451446237,0.9990169952135406,3.5928473532425853
25,0.5,983.3664957330463,1.6633504266953647,3.701455872843411,3.656003049702733,90.72620672526853,25.728787420202295,0.998979913325841,3.5951909073755073
26,0.5,982.7835105392465,1.7216489460753492,3.7021531314608813,3.656899507966176,91.19796082505411,24.99369072579778,0.9989413490349318,3.5939405361282417
27,0.5,982.2061701638966,1.7793829836103447,3.6986303091067563,3.6570739939966628,91.65255637719005,25.39919806327013,0.999032129907499,3.592000641649447
28,0.5,981.6344044859356,1.836559551406436,3.694146319122974,3.6502336127992687,92.09119787483093,25.32675572327595,0.9989701036857798,3.5831948987347557
29,0.5,981.0681442553607,1.8931855744639292,3.697609319922961,3.651344904932132,92.51496727077695,25.683177164658908,0.9989447592507431,3.582218169918033
30,0.5,980.5073210824057,1.949267891759432,3.6979748291954717,3.6555977634184913,92.92484005606433,25.037583331600246,0.9989792159976355,3.584340369964299
31,0.5,979.9518674268564,2.004813257314353,3.6989926647401887,3.6486079472177835,93.32169878499658,25.24312648618786,0.9989368619772941,3.5754601713845364
32,0.5,979.4017165874961,2.0598283412503915,3.700534499615966,3.6536908698250743,93.706344518331,25.867886582911467,0.9990112991685337,3.57843110978674
33,0.5,978.8568026916846,2.1143197308315376,3.701462787142367,3.6505132419483637,94.07950655770202,25.151929625514867,0.9990133287112721,3.5733297201972314
34,0.5,978.3170606850638,2.1682939314936256,3.7021904654778464,3.6499267922794743,94.44185076861767,25.491471618228363,0.9990266534149765,3.5707856511385185
35,0.5,977.7824263213947,2.221757367860533,3.7017340379707604,3.6564742011596456,94.79398673070138,25.215621355531184,0.9989709175174791,3.5752362161914615
36,0.5,977.2528361525173,2.2747163847482765,3.6961388107334656,3.6491568420741483,95.13647390805279,25.148205255015693,0.9990979276526182,3.566148873482325
37,0.5,976.7282275184376,2.3271772481562425,3.697381643995137,3.650607906032462,95.46982699657983,24.74072814552585,0.9989770554425123,3.5656517894238813
38,0.5,976.2085385375367,2.379146146246325,3.699094808072435,3.6536694278216832,95.79452057662058,25.651573363191286,0.9989945354483264,3.5667432924330833
39,0.5,975.6937080969011,2.4306291903098853,3.6963071327276924,3.649625187337955,96.1109931764242,25.377953272381284,0.999021240059999,3.5609163321976167
40,0.5,975.1836758427745,2.4816324157225456,3.697110445152217,3.652300772928076,96.41965083380384,25.254940201842782,0.9990315626596572,3.561664093027408
41,0.5,974.6783821711267,2.532161782887332,3.7010288494104566,3.654496231257883,96.7208702285421,25.320240522680248,0.9991041254760407,3.561958474332913
42,0.5,974.1777682183408,2.582223178165921,3.6989380721750447,3.649542678753644,97.01500144616952,25.273590111274906,0.9990705384334219,3.5553033418058098
43,0.5,973.6817758520153,2.631822414798468,3.6986583315248946,3.651565279278323,97.30237042397827,25.604433717813933,0.998970671355203,3.555462565767278
44,0.5,973.1903476618816,2.6809652338118495,3.694938281321206,3.6470449102167906,97.583281122129,25.32034900978576,0.9989658280625006,3.549268904112374
45,0.5,972.7034269508318,2.7296573049168105,3.7001043783791348,3.6529980717820316,97.85801745611369,24.958645130663033,0.9990220537793439,3.553283743067163
46,0.5,972.220957726062,2.7779042273938015,3.697941047545759,3.644428549224449,98.12684502137573,25.398742212776934,0.9989937964115231,3.5431898144911966
47,0.5,971.7428846903215,2.825711530967856,3.6968140072830398,3.6491878377255555,98.39001263634863,25.41499941022914,0.9989670945693743,3.546072316208268
48,0.5,971.2691532332726,2.8730846766727436,3.699076853575066,3.652798171520452,98.64775372638283,25.060485723580005,0.9990149302156557,3.547850186984716
49,0.5,970.7997094229594,2.9200290577040655,3.6982534940663405,3.6556013812143675,98.90028756785183,24.721309108766544,0.9990305641965703,3.548856758649077
50,0.5,970.3344999973781,2.9665500002621914,3.6976075799602803,3.647733077109264,99.14782040905408,25.856190978629265,0.9989952856281513,3.539521251500715
51,0.5,969.8734723561571,3.0126527643842937,3.702674295748921,3.651652578611546,99.39054648226784,25.396582183833004,0.9989710861963448,3.541640966256295
52,0.5,969.4165745523366,3.058342544766346,3.696783618447905,3.6471567433675585,99.62864891940153,25.212371399538128,0.9990056674363422,3.5356141970108337
53,0.5,968.9637552842524,3.1036244715747507,3.693927769581607,3.6500040223564088,99.86230058205344,25.252758070222757,0.9990826024181688,3.536721604305092
54,0.5,968.5149638875204,3.148503611247966,3.6960966735810388,3.6469284482875084,100.0916648154059,26.258054059014494,0.9989518849694161,3.532104774393547
55,0.5,968.0701503271184,3.1929849672881594,3.6950936094734104,3.6432956328003057,100.31689613418936,25.456032242482493,0.9990299527162888,3.526965750931126
56,0.5,967.6292651895704,3.2370734810429513,3.7006384892874173,3.6495983816682713,100.53814084793187,24.839324772149908,0.9989734485097762,3.531458200290715
57,0.5,967.1922596752238,3.280774032477618,3.7005119809701172,3.651531200113716,100.75553763183022,24.738632650101785,0.9989933617101299,3.5317327127125666
58,0.5,966.7590855906253,3.324091440937471,3.7008018813180823,3.6566969167045227,100.96921804882149,25.499934563064006,0.9990104936870685,3.5351449674753237
59,0.5,966.3296953409899,3.367030465901011,3.6954993703844883,3.6423799882486976,101.17930702777626,25.35121761439471,0.9990201027441835,3.519739944360482
60,0.5,965.904041922765,3.409595807723498,3.6991146108976056,3.64698702358112,101.38592330216638,24.997274474330087,0.9989559680508022,3.522639506916878
61,0.5,965.4820789162852,3.4517921083714764,3.695614975946458,3.646750613588218,101.58917981306365,24.65488709675773,0.9989781075272909,3.5208723636963914
62,0.5,965.0637604785197,3.4936239521480283,3.6988035822929137,3.652475028426961,101.78918407989417,25.375675616801008,0.9990447499112615,3.5248712859876115
63,0.5,964.6490413359087,3.5350958664091325,3.6970809343365922,3.643854703105998,101.98603854199591,25.15768208846876,0.999070966789095,3.515040946118543
64,0.5,964.2378767772896,3.576212322271044,3.6998427148944333,3.650214988236973,102.17984087369545,26.36479494478282,0.998992897217088,3.519675550038258
65,0.5,963.8302226469112,3.6169777353088794,3.6990705126608727,3.648807945180883,102.37068427533032,25.30486286439132,0.9991102371388172,3.5168313741995094
66,0.5,963.4260353375331,3.6573964662466873,3.700818771726327,3.6453410039512715,102.55865774238706,25.25718896045729,0.9990157596840612,3.512016430890116
67,0.5,963.0252717836137,3.6974728216386366,3.699347882737101,3.64393061837031,102.74384631470133,24.706188666750602,0.998898938794419,3.509197274116699
68,0.5,962.6278894545792,3.737211054542078,3.6976154504405927,3.6458426752497406,102.92633130746576,25.492137241405782,0.9989556876896775,3.5095898397590943
69,0.5,962.2338463481798,3.7766153651820233,3.695285555429079,3.6376633249935324,103.10619052561698,25.493041921909946,0.9990125884122101,3.5002827729282355
70,0.5,961.8431009839254,3.8156899016074552,3.699696573399747,3.6504272112321763,103.28349846301643,25.342785325718914,0.9990614630481377,3.5111382287676594
71,0.5,961.4556123966056,3.8544387603394403,3.6974146029207433,3.643702930517939,103.4583264877007,25.249540752723217,0.998964673703479,3.5032586324524315
72,0.5,961.0713401298872,3.8928659870112847,3.693332806968793,3.6419864136205726,103.63074301435489,25.48639424895722,0.9989757152808845,3.5002087632731653
73,0.5,960.690244229994,3.930975577000595,3.6962137317136268,3.6454287363541664,103.80081366505212,25.932204033407164,0.9989956556147681,3.5021278230511226
74,0.5,960.312285239464,3.968771476053601,3.696603469899949,3.642844827583078,103.96860141920388,25.401930211413596,0.9989304188643051,3.4982686411490667
75,0.5,959.9374241909828,4.006257580901718,3.697345724075063,3.6454621874912836,104.13416675357914,25.981975034901286,0.9990407451167771,3.4994155822460082
76,0.5,959.5656226012965,4.043437739870348,3.6996419958273776,3.6453543663174943,104.29756777317105,25.635262177256585,0.9989365165905582,3.497956732117801
77,0.5,959.1968424651974,4.0803157534802565,3.698175731941294,3.6472025135557407,104.45886033361988,25.21007717518133,0.9990933689902581,3.4983851348337978
78,0.5,958.8310462495865,4.116895375041352,3.6986646101004768,3.6406473761138742,104.61809815583779,25.611572251693026,0.9989729436947697,3.490765732665078
79,0.5,958.4681968876077,4.153180311239224,3.697510844244889,3.64652047215092,104.77533293342351,25.568588371622035,0.9988912710042769,3.4950739018562405
80,0.5,958.1082577728579,4.189174222714209,3.6951698559791444,3.6450224212381652,104.9306144334055,25.84750413191164,0.9990883005014759,3.4923260815555026
81,0.5,957.7511927536648,4.224880724633517,3.701071408042526,3.6423628029332336,105.08399059080315,25.693701779138078,0.9988972426328013,3.488477318950886
82,0.5,957.3969661274405,4.260303387255949,3.7006710194247305,3.648813313834468,105.23550759745748,25.12622079217832,0.999093466475926,3.4933627966305316
83,0.5,957.0455426351009,4.295445736489912,3.6987106742986877,3.6403446226390628,105.38520998554142,25.562326149523898,0.9989563287189024,3.4839755947523736
84,0.5,956.6968874555577,4.33031125444423,3.697624404207274,3.643462250010544,105.53314070612896,25.892048165880595,0.9989216356805908,3.4856889941469102
85,0.5,956.3509662002774,4.3649033799722625,3.69801586830854,3.6506187627287554,105.67934120316885,25.237626196023204,0.9990032467195171,3.4912727809645068
86,0.5,956.0077449079068,4.399225509209314,3.697764467976375,3.642783435668148,105.8238514831823,25.68579665825815,0.9989974810855191,3.4825291775209832
87,0.5,955.6671900389684,4.43328099610315,3.6954524963927717,3.6477551896169795,105.96671018097759,25.7346273561198,0.9989841875098918,3.4860399520113234
88,0.5,955.3292684706183,4.467073152938172,3.69604640657335,3.6406393413958926,106.10795462165174,25.872139434625307,0.9989851332311301,3.478009318781092
89,0.5,954.9939474914711,4.500605250852896,3.698218513257218,3.644541332714975,106.2476208791283,25.693494269516638,0.9989865724720651,3.480514914125301
90,0.5,954.6611947964889,4.533880520351108,3.6988073794327434,3.6450648747875483,106.38574383146062,25.76316190342127,0.9990259049197532,3.479801988475395
91,0.5,954.3309784819335,4.5669021518066515,3.697026639107594,3.641186128779758,106.52235721311301,25.237964002836858,0.9989551631589929,3.4748967211132293
92,0.5,954.0032670403813,4.59967329596187,3.6952712207358536,3.644539863167408,106.65749366441571,25.511733591961164,0.999070619334593,3.476902936320611
93,0.5,953.6780293557998,4.632197064420018,3.701779341416758,3.648456416440787,106.79118477837504,25.067023410725557,0.9989729558948516,3.479452725421773
94,0.5,953.3552346986868,4.6644765301313225,3.6970506172480886,3.639123559640127,106.92346114500677,25.46199487395194,0.9990062901726,3.4693774952982337
95,0.5,953.0348527212672,4.69651472787328,3.6962632354708815,3.640430781505469,107.05435239334795,25.315230114988303,0.9990811913293751,3.469457413694032
96,0.5,952.7168534527531,4.728314654724697,3.6968437190465697,3.640761985086873,107.18388723129229,25.436701911362892,0.9990394886139737,3.4686153026023643
